id,nome_do_produto,marca,valor_de_custo,valor_de_venda,quantidade,codigo_interno,codigo_ncm,codigo_cfop,codigo_cest,origem_cst,descricao,CNPJ
44,"TACHO DE FRITURA ELÉTRICO PR-90E 220V",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
45,"TACHO DE FRITURA A GAS PR-70G",PROGAS,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
46,"TACHO DE FRITURA A GAS PR-310G",PROGAS,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
47,"TACHO DE FRITURA A GAS 7LTS",VENANCIO,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
48,"LIXEIRA COM PEDAL REDONDA 40LTS",JSN,0.00,254.00,7,0,0,0,0,0,_,NUTRIGEL
49,"LIXEIRA COM PEDAL REDONDA 60LTS",JSN,0.00,288.00,1,0,0,0,0,0,_,NUTRIGEL
50,"LIXEIRA COM PEDAL REDONDA 100LTS",JSN,0.00,358.00,0,0,0,0,0,0,_,NUTRIGEL
51,"LIXEIRA COM PEDAL REDONDA 40LTS",JSN,0.00,210.00,4,0,0,0,0,0,_,NUTRIGEL
52,"LIXEIRA VAI E VEM COR VERDE",ELDORADO,0.00,65.00,2,0,0,0,0,0,_,NUTRIGEL
53,"LIXEIRA VAI E VEM COR BRANCO",BOLIVAR,0.00,90.00,4,0,0,0,0,0,_,NUTRIGEL
54,"CHAPA BIFETEIRA PR-800G",PROGAS,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
55,"CHAPA BIFETEIRA PR-650G",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
56,"CHAPA BIFETEIRA PR-1200G",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
57,"CHAPA BIFETEIRA PR-1000G",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
58,"CHAPA BIFETEIRA PROFISSIONAL 03 QUEIMADORES",MARCHESONI,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
59,"LIXEIRA RETANGULAR 100LTS COM PEDAL COR BRANCO",BOLIVAR,0.00,0.00,6,0,0,0,0,0,_,NUTRIGEL
60,"LIXEIRA RETANGULAR 50LTS COM PEDAL COR BRANCO",BOLIVAR,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
61,"LIXEIRA RETANGULAR 25LTS COM PEDAL COR BRANCO",BOLIVAR,0.00,0.00,3,0,0,0,0,0,_,NUTRIGEL
62,"LIXEIRA RETANGULAR 100LTS COM PEDAL COR PRETO",BOLIVAR,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
63,"LIXEIRA RETANGULAR 50LTS COM PEDAL COR PRETO",BOLIVAR,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
64,"LIXEIRA RETANGULAR 25LTS COM PEDAL COR PRETO",BOLIVAR,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
65,"CONTENTOR 240LTS COM RODAS COM PEDAL COR BRANCO",BOLIVAR,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
66,"CONTENTOR 240LTS COM RODAS COM PEDAL COR PRETO",BOLIVAR,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
67,"CONTENTOR 120LTS COM RODAS COM PEDAL COR BRANCO",BOLIVAR,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
68,"CONTENTOR 120LTS COM RODAS COM PEDAL COR PRETO",BOLIVAR,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
69,"CONTENTOR 240LTS COM RODAS SEM PEDAL COR BRANCO",BOLIVAR,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
70,"CONTENTOR 240LTS COM RODAS SEM PEDAL COR PRETO",BOLIVAR,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
71,"CONTENTOR 120LTS COM RODAS SEM PEDAL COR BRANCO",BOLIVAR,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
72,"CONTENTOR 120LTS COM RODAS SEM PEDAL COR PRETO",BOLIVAR,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
73,"MESA DESMONTAVEL COR BRANCO",ELDORADO,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
74,"MESA DESMONTAVEL COR PRETO",ELDORADO,0.00,0.00,5,0,0,0,0,0,_,NUTRIGEL
75,"LIXEIRA 105LTS COM TAMPA AZUL",ELDORADO,0.00,133.00,4,0,0,0,0,0,_,NUTRIGEL
76,"LIXEIRA 105LTS COM TAMPA AZUL",ELDORADO,0.00,133.00,4,0,0,0,0,0,_,NUTRIGEL
77,"LIXEIRA RETANGULAR 30LTS",JSN,0.00,94.00,1,0,0,0,0,0,_,NUTRIGEL
78,"FRITADEIRA AGUA E OLEO 18LTS SFAO-04 220V MESA",VENANCIO,0.00,1669.00,1,0,0,0,0,0,_,NUTRIGEL
79,"FRITADEIRA AGUA E OLEO 18LTS SFAO-04 127V MESA",VENANCIO,0.00,1669.00,0,0,0,0,0,0,_,NUTRIGEL
80,"FRITADEIRA FZM 220V",SKYMSEN,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
81,"FRITADEIRA FZM 127V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
82,"FRITADEIRA FE10N 127V",SKYMSEN,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
83,"FRITADEIRA FE10N 220V",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
84,"FRITADEIRA PR-100E 127V",PROGAS,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
85,"FRITADEIRA PR-100E 220V",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
86,"FRITADEIRA FC8 220V",SKYMSEN,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
87,"FRITADEIRA PR-2000BPG",PROGAS,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
88,"FRITADEIRA PR-3000BPG",PROGAS,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
89,"TRITURADOR DE MILHO",BOTINI,0.00,259.00,2,0,0,0,0,0,_,NUTRIGEL
90,"TRITURADOR DE CEREAIS",BOTINI,0.00,264.00,2,0,0,0,0,0,_,NUTRIGEL
91,"SELADORA DE MARMITEX",VITALEX,0.00,140.00,6,0,0,0,0,0,_,NUTRIGEL
92,"AMASSADOR DE BATATAS MÉDIO",VITALEX,0.00,312.00,5,0,0,0,0,0,_,NUTRIGEL
93,"AMASSADOR DE BATATAS GRANDE",VITALEX,0.00,320.00,4,0,0,0,0,0,_,NUTRIGEL
94,"RALADOR DE COCO E QUEIJO MANUAL",BOTINI,0.00,250.00,1,0,0,0,0,0,_,NUTRIGEL
95,"RALADOR DE COUVE MANUAL",VITALEX,0.00,159.00,1,0,0,0,0,0,_,NUTRIGEL
96,"DESCASCADOR DE CAFÉ ",BOTINI,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
97,"MOEDOR DE CAFÉ ELÉTRICO BIVOLT",ARBEL,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
98,"TACHO DE FRITURA A GÁS COM PÉ 18",CEFAZ,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
99,"TACHO DE FRITURA A GÁS COM PÉ 20",CEFAZ,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
100,"BALEIRO DE VIDRO TRIPLO 15 DIVISÕES",ABALK,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
101,"BALEIRO DE VIDRO TRIPLO 12 DIVISÕES",ABALK,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
102,"BALEIRO DE VIDRO DUPLO 08 DIVISÕES",ABALK,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
103,"BALEIRO DE VIDRO DUPLO 10 DIVISÕES",ABALK,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
104,"BALEIRO DE VIDRO LINEAR 06 DIVISÕES",ABALK,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
105,"BALEIRO FIXO 06 BOCAS COR AMARELO",TOK,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
106,"BALEIRO FIXO 06 BOCAS COR VERDE",TOK,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
107,"BALEIRO FIXO 06 BOCAS COR VERMELHO",TOK,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
108,"BALEIRO FIXO 04 BOCAS COR AMARELO",TOK,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
109,"BALEIRO FIXO 04 BOCAS COR VERDE",TOK,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
110,"BALEIRO FIXO 04 BOCAS COR VERMELHO",TOK,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
111,"BALEIRO GIRATÓRIO 05 BOCAS COR VERDE",TOK,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
112,"BALEIRO GIRATÓRIO 05 BOCAS COR VERMELHO",TOK,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
113,"BALEIRO GIRATÓRIO 05 BOCAS COR AMARELO",TOK,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
114,"BALEIRO GIRATÓRIO 05 BOCAS COR AZUL",TOK,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
115,"BALEIRO GIRATÓRIO 10 BOCAS COR VERDE",TOK,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
116,"BALEIRO GIRATÓRIO 10 BOCAS COR VERMELHO",TOK,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
117,"BALEIRO GIRATÓRIO 10 BOCAS COR AMARELO",TOK,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
118,"BALEIRO GIRATÓRIO 10 BOCAS COR AZUL",TOK,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
119,"BALEIRO GIRATÓRIO 15 BOCAS COR VERDE",TOK,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
120,"BALEIRO GIRATÓRIO 15 BOCAS COR VERMELHO",TOK,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
121,"BALEIRO GIRATÓRIO 15 BOCAS COR AMARELO",TOK,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
122,"BALEIRO GIRATÓRIO 15 BOCAS COR AZUL",TOK,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
123,"BATEDEIRA PLANETÁRIA  12LTS BPEL-12",PROGAS,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
124,"LIQUIDIFICADOR INDUSTRIAL LS10 BIVOLT",SKYMSEN,0.00,0.00,3,0,0,0,0,0,_,NUTRIGEL
125,"LIQUIDIFICADOR INDUSTRIAL LS8 BIVOLT",SKYMSEN,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
126,"LIQUIDIFICADOR INDUSTRIAL LS6 BIVOLT",SKYMSEN,0.00,0.00,3,0,0,0,0,0,_,NUTRIGEL
127,"LIQUIDIFICADOR INDUSTRIAL LS4 BIVOLT",SKYMSEN,0.00,0.00,3,0,0,0,0,0,_,NUTRIGEL
128,"LIQUIDIFICADOR INDUSTRIAL LS3 BIVOLT",SKYMSEN,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
129,"LIQUIDIFICADOR INDUSTRIAL LS2 BIVOLT",SKYMSEN,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
130,"LIQUIDIFICADOR INDUSTRIAL L10 BIVOLT",SKYMSEN,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
131,"LIQUIDIFICADOR INDUSTRIAL L8 BIVOLT",SKYMSEN,0.00,0.00,2,0,0,0,0,0,_,NUTRIGEL
132,"LIQUIDIFICADOR INDUSTRIAL L6 BIVOLT",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
133,"LIQUIDIFICADOR INDUSTRIAL L4 BIVOLT",SKYMSEN,0.00,0.00,0,0,0,0,0,0,_,NUTRIGEL
134,"LIQUIDIFICADOR INDUSTRIAL L3 BIVOLT",SKYMSEN,0.00,0.00,1,0,0,0,0,0,_,NUTRIGEL
